Movie Name,Storyline,story_length,word_count,char_length,clean_story
#AAY,"When a man comes home between covid lockdowns, he connects with old friends and falls for a woman who feels influenced by her caste, while finding love.",152,27,152,man comes home covid lockdowns connects old friends falls woman feels influenced caste finding love
#AMFAD: All My Friends Are Dead,"A group of college friends rent an Airbnb for the biggest music festival of the year. A weekend of partying quickly takes a turn, as their past regrets come back and haunt them. A killer then tries to avenge a forgotten, lost friend.",233,43,233,group college friends rent airbnb biggest music festival year weekend partying quickly takes turn past regrets come back haunt killer tries avenge forgotten lost friend
#BFFs,"Four girlfriends' weekend getaway takes a dark turn when secrets come to light. Friendships are tested, lives are upended, and the women question the authenticity of their bonds as deadly events unfold.",202,32,202,four girlfriends weekend getaway takes dark turn secrets come light friendships tested lives upended women question authenticity bonds deadly events unfold
#FamilyMan,One man's world turns upside-down.,34,5,34,one mans world turns upsidedown
#Lifestories,"A collection of six shorts exploring the range of human emotions through diverse protagonists experiencing joy, solitude, guilt, and love's complexities.",153,21,153,collection six shorts exploring range human emotions diverse protagonists experiencing joy solitude guilt loves complexities
#MissingCouple,"A real #vanlife couple were on an adventure to renovate an abandoned farm in middle-of-nowhere Mississippi. Cameras blazing, they chronicled their project on social media. But the farm was full of disturbing surprises, especially at night.",239,36,239,real vanlife couple adventure renovate abandoned farm middleofnowhere mississippi cameras blazing chronicled project social media farm full disturbing surprises especially night
#Models Wanted,The fashion industry's glitz conceals a sinister truth. Would-be models find their aspirations of fame turn into a harrowing battle to stay alive.,146,23,146,fashion industrys glitz conceals sinister truth wouldbe models find aspirations fame turn harrowing battle stay alive
#OOTD: Outfit of the Designer,An Indonesian fashion designer studying in England finds her career compromised by an intoxicating love affair that challenges her dreams and values.,149,22,149,indonesian fashion designer studying england finds career compromised intoxicating love affair challenges dreams values
#RevolutionAnyone,"#RevolutionAnyone is a positive, incredibly timely documentary that says 'yes we can' change our society to better reflect the needs of all its citizens",152,24,152,revolutionanyone positive incredibly timely documentary says yes change society better reflect needs citizens
#Star,A Social media Influencer has attained all the fame she ever needed but her one mistake from the past comes to haunt her.,121,23,121,social media influencer attained fame ever needed one mistake past comes haunt
#UNTRUTH: The Psychology of Trumpism,"Mental health experts analyze disinformation, false narratives, and untruths in American media and culture. It examines how profit-driven enablers and power-seeking politicians create divisions threatening democracy.",216,26,216,mental health experts analyze disinformation false narratives untruths american media culture examines profitdriven enablers powerseeking politicians create divisions threatening democracy
#lovemyselfie,"When acclaimed Adele Swan discovers that her young lover has squandered all her savings and is sleeping with a millennial, she knows it's showtime.",147,24,147,acclaimed adele swan discovers young lover squandered savings sleeping millennial knows showtime
'Descontrol',"A high school student's virtual reality gaming habit evolves into a life-altering struggle, pushing him to rock bottom. Through recovery, he finds a new purpose and dedicates his life to helping others balance technology use.",225,35,225,high school students virtual reality gaming habit evolves lifealtering struggle pushing rock bottom recovery finds new purpose dedicates life helping others balance technology use
'O' by Cirque du Soleil in Shared Reality,"Experience ""O"" by Cirque du Soleil in the groundbreaking new format of Cosm Shared Reality. Cosm is blending the physical space with the digital world to bring you a deeply immersive Cirque du Soleil experience in a new communal format.",236,40,236,experience cirque du soleil groundbreaking new format cosm shared reality cosm blending physical space digital world bring deeply immersive cirque du soleil experience new communal format
(A)diexodos,Some teens trying to succeed in a world that has no way out,59,13,59,teens trying succeed world way
(Pri)sons,"When an underground marketplace of illegal activities is besieged by an army of bloodthirsty assassins, a ragtag group of criminals must band together to fight for survival.",173,27,173,underground marketplace illegal activities besieged army bloodthirsty assassins ragtag group criminals must band together fight survival
"(Re)membering the riots in Afrikaanderwijk in 1972 or guest, host, ghos-ti","In 1972, the arrival of migrant workers led to riots in the Rotterdam neighborhood of Afrikaanderwijk. An explosion of violence ensued, accompanied by a hailstorm of stones and Molotov cocktails. As the current generation recount testimonials, the events are reconstructed and imbued with present-day significance. This effect is amplified through the use of a split screen showing past and present at the same time. In (Re)membering the riots in Afrikaanderwijk in 1972 or guest, host, ghos-ti, visual artist Cihad Caner explores the things we remember and the things we forget and how memories and perspectives are bound to time and place - different for each individual.",673,106,673,arrival migrant workers led riots rotterdam neighborhood afrikaanderwijk explosion violence ensued accompanied hailstorm stones molotov cocktails current generation recount testimonials events reconstructed imbued presentday significance effect amplified use split screen showing past present time remembering riots afrikaanderwijk guest host ghosti visual artist cihad caner explores things remember things forget memories perspectives bound time place different individual
(S)KiDS,"Set in 1993, this edgy punk rock opera follows a group of disaffected teens navigating their last year of high school as they uncover a dark truth about their Principal.",169,30,169,set edgy punk rock opera follows group disaffected teens navigating last year high school uncover dark truth principal
(Un)lucky Sisters,"After their father's death, estranged sisters stumble upon his hidden fortune, forcing them to decide whether to keep the money or do the right thing.",150,25,150,fathers death estranged sisters stumble upon hidden fortune forcing decide whether keep money right thing
*YES I DO*,"Jude, a young groom of Miss Vera Raphael was abducted by his ex-girlfriend Miss Alicia Jones, made to believe his dead. Vera has to pass through a hard test and trial of love to get her man back.",195,38,195,jude young groom miss vera raphael abducted exgirlfriend miss alicia jones made believe dead vera pass hard test trial love get man back
...and Juliet,"The film's author runs audition for a film after Shakespeare's Romeo and Juliet. Three female actors come to try for ""Juliet"". What if Romeo and Juliet luckily survived? Would they have been happy together? This question is answered by yet another audition. The audition is over. A feature film ""Romeo and Juliet"" transforms into ""...and Juliet"" docufiction.",358,57,358,films author runs audition film shakespeares romeo juliet three female actors come try juliet romeo juliet luckily survived would happy together question answered yet another audition audition feature film romeo juliet transforms juliet docufiction
.ask,"Chris Vander Kaay, a YouTuber in his mid-40s, takes a mysterious coach's advice to be brutally honest with his audience. His channel and life improve, but unforeseen darker consequences soon begin to unfold.",207,33,207,chris vander kaay youtuber mids takes mysterious coachs advice brutally honest audience channel life improve unforeseen darker consequences soon begin unfold
/Complication,I made this with the purpose of taking pictures packed with realistic art and lighting.,87,15,87,made purpose taking pictures packed realistic art lighting
0000 Kilometre,A phone call to Izmir while she and Ege are living together in France turns their lives upside down. The caller claims to be Izmir's recently deceased mother.,158,28,158,phone call izmir ege living together france turns lives upside caller claims izmirs recently deceased mother
00:00 Absurdo Error Andinista,"Jorge, a mountaineer, suffered a fall. He uses a stroller and two crutches to walk. At home, he looks through the window and calls friends and neighbors. Domitila, the cook, talks to him. He struggles with tasks. Healed, he quits climbing.",239,41,239,jorge mountaineer suffered fall uses stroller two crutches walk home looks window calls friends neighbors domitila cook talks struggles tasks healed quits climbing
01,"An observational documentary about poet Nanos Valaoritis and painter Marie Wilson during the final years of their shared life in Athens, exploring memory, aging, and artistic creation.",184,27,184,observational documentary poet nanos valaoritis painter marie wilson final years shared life athens exploring memory aging artistic creation
01 Redux,"01 is an experimental documentary about the new possibilities of the digital camera and a train journey from Sant Celoni to Barcelona early in the morning on a Thursday of October 21, 2004.",189,33,189,experimental documentary new possibilities digital camera train journey sant celoni barcelona early morning thursday october
07.03,"Cursed with infertility, a couple must break the curse however they can in order to save their marriage.",104,18,104,cursed infertility couple must break curse however order save marriage
1 Bad Azz Day,The day goes from bad to worse for a young delivery driver. As he tries to navigate life in the southern Alabama city of Mobile.,128,25,128,day goes bad worse young delivery driver tries navigate life southern alabama city mobile
1 Million Followers,A small-town girl who is invited by a popular influencer to a mansion in Thailand where the beautiful mingle as they build Karissa up to a million followers. Things take a dark turn when they discover who the sponsor behind this event is.,238,43,238,smalltown girl invited popular influencer mansion thailand beautiful mingle build karissa million followers things take dark turn discover sponsor behind event
1 Princess Street,It's rather easy to love a person far from home when compared to that person living near to where you live. Our story is set in the crowded suburbs of Mattancherry where two families rent the same house.,203,38,203,rather easy love person far home compared person living near live story set crowded suburbs mattancherry two families rent house
1-800-on-Her-Own,Brilliant singer-songwriter Ani DiFranco balances her passion for creating music with raising children. An intimate glimpse into her unique artistry and modern family life.,172,24,172,brilliant singersongwriter ani difranco balances passion creating music raising children intimate glimpse unique artistry modern family life
10 Days of a Curious Man,"When a young woman goes missing in Istanbul, a jaded writer gets tangled up in a deadly chain of events as he sets out to find her and a good story.",148,31,148,young woman goes missing istanbul jaded writer gets tangled deadly chain events sets find good story
10 Lives,"A pampered cat takes for granted the lucky hand he has been dealt after he is rescued and loved by Rose, a kind-hearted and passionate student. When he loses his ninth life, fate steps in to set him on a transformative journey.",227,42,227,pampered cat takes granted lucky hand dealt rescued loved rose kindhearted passionate student loses ninth life fate steps set transformative journey
10 Pasimatymu,"Justelis is a young, good-looking, friendly IT professional who, after drinking too much alcohol at the company Christmas party, accidentally spills his heart to one of his best friends and reveals his deepest secret - he's still a virgin.",239,39,239,justelis young goodlooking friendly professional drinking much alcohol company christmas party accidentally spills heart one best friends reveals deepest secret hes still virgin
10 Things about Sally,Sally feels disconnected from life until she is convinced by her psychiatrist and her friends that dating is the answer.,120,20,120,sally feels disconnected life convinced psychiatrist friends dating answer
10 Years A Dog,A movie star dog suddenly dies leaving his dog handler to deal with the aftermath.,82,15,82,movie star dog suddenly dies leaving dog handler deal aftermath
10/31 Part 4,"On Halloween at midnight, Malvolia hosts the annual Monster Marathon, showcasing four indie horror tales. Filled with the horrors of Halloween, who will survive?",161,24,161,halloween midnight malvolia hosts annual monster marathon showcasing four indie horror tales filled horrors halloween survive
100 Crores,"When Sundarlal finds out about an IT Raid on his properties, he hides 100 Crores in his bungalow. But when he can't find the money and dies in shock. Where did the money go? Was is stolen?",188,37,188,sundarlal finds raid properties hides crores bungalow cant find money dies shock money go stolen
100 litraa sahtia,"Two middle-aged sisters in a Finnish village promise to brew beer for a wedding but drink their entire batch. In a hilarious race against time, they struggle with hangovers while trying to make more beer and save their reputations.",231,39,231,two middleaged sisters finnish village promise brew beer wedding drink entire batch hilarious race time struggle hangovers trying make beer save reputations
"100,000,000,000,000","Julia described palaces, diamonds, and the afterlife to captivated Afine during their night-long conversation in her room, exposing him to a world beyond his knowledge.",168,25,168,julia described palaces diamonds afterlife captivated afine nightlong conversation room exposing world beyond knowledge
100dB Indust-bag,"A poetic punk rock journey of a band from a small town of former Yugoslavia, who stubbornly kept to their own voice, despite its country's 'bad history' and decades of changing trends.",184,32,184,poetic punk rock journey band small town former yugoslavia stubbornly kept voice despite countrys bad history decades changing trends
101 Reasons to Visit South Korea,K-pop K-Beauty K-Movies K-Culture K-Cuisine K-Spiritually,57,6,57,kpop kbeauty kmovies kculture kcuisine kspiritually
1040 km,"In the rehab center of Bastau village, Tailgate gets acquainted with the intern Aliya. He falls in love with her, but cannot tell her about it, for fear of her rejection.",170,31,170,rehab center bastau village tailgate gets acquainted intern aliya falls love cannot tell fear rejection
105 Minutes,"A young woman living independently experiences unsettling occurrences after shopping. As tension builds, the audience joins her thrilling journey into the unknown.",163,22,163,young woman living independently experiences unsettling occurrences shopping tension builds audience joins thrilling journey unknown
10FT Down,"In a late-night bar, two strangers ignite a chilling descent into madness, blurring the lines between captor and captive in a thrilling psychological game.",155,24,155,latenight bar two strangers ignite chilling descent madness blurring lines captor captive thrilling psychological game
11 Días en Ayacucho,"A group of students from Lima embarks on a volunteer trip to four rural communities in Ayacucho, discovering the problems and dreams that some of the most forgotten residents of Peru have.",188,32,188,group students lima embarks volunteer trip four rural communities ayacucho discovering problems dreams forgotten residents peru
11 Rebels,"Amidst the Boshin War's brutal conflicts, a motley squad of criminals and samurai undertakes a desperate defense of a fortress, their stand triggered by clashing interests of the Shibata clan, the shogunate, and the new government.",231,36,231,amidst boshin wars brutal conflicts motley squad criminals samurai undertakes desperate defense fortress stand triggered clashing interests shibata clan shogunate new government
1134,"Inspired from real ATM robberies that took place in Hyderabad, revolves around a series of sequential ATM robberies that have a pattern. Will the robbers be caught?",164,27,164,inspired real atm robberies took place hyderabad revolves around series sequential atm robberies pattern robbers caught
11:11,"11:11 is about an outcast writer who, due to his troubled state of mind, lives in a derelict house with his delusions. He is suddenly threatened by mysterious figures in black to write a story they want. Otherwise, at exactly 11:11, they will raid his house and not eliminate him, but force him to comply with their demands in their own way, which is worse than annihilation. Now he is caught in a dilemma between staying and submitting or erasing himself before the appointed time.",482,85,482,outcast writer due troubled state mind lives derelict house delusions suddenly threatened mysterious figures black write story want otherwise exactly raid house eliminate force comply demands way worse annihilation caught dilemma staying submitting erasing appointed time
12 Baes of Christmas,"Simone's perfect life unravels after her boyfriend cheats. She loses credibility but her friends convince her to embark on a 'ho phase', hilariously navigating the dating world to find a new Christmas romance.",209,33,209,simones perfect life unravels boyfriend cheats loses credibility friends convince embark ho phase hilariously navigating dating world find new christmas romance
12 Digit Masterstroke: The untold story of Aadhar,"Explores logistical, technological and political challenges faced by the team, spearheaded by tech wizard Nandan Nilekani, in aiming to achieve something that no one had attempted before in India.",196,29,196,explores logistical technological political challenges faced team spearheaded tech wizard nandan nilekani aiming achieve something one attempted india
12 Gaun,"A son's quest for vengeance against a tyrannical village chief who murdered his parents. The chief rules through fear, oppressing villagers with his gang, forbidding escape. The son must confront the chief's ruthless reign to seek justice.",239,37,239,sons quest vengeance tyrannical village chief murdered parents chief rules fear oppressing villagers gang forbidding escape son must confront chiefs ruthless reign seek justice
